,Name,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Medusa,Meepo,Mirana,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
100,Venomancer,-0.0578,-0.0213,-0.4392,-0.1527,-1.1584,0.5658,0.175,-0.6768,-0.1712,-0.1403,0.7657,0.5069,0.7698,-0.7403,-0.4436,1.4954,-3.9477,-0.5167,0.6477,0.0647,1.3947,-0.8019,-1.0744,0.1658,0.2438,0.4105,0.4675,0.678,0.9835,-0.0551,0.3016,-0.6118,-0.3612,1.029,1.1639,-0.6133,1.2939,-3.5468,0.3575,-0.1661,-0.7718,1.3603,-0.4901,0.4741,0.7027,-0.1214,0.1852,0.6604,-1.588,0.3059,-0.4823,1.8162,1.2576,0.1784,0.3811,0.0245,1.484,0.3469,0.0382,-0.2896,-0.5864,0.0348,-0.8391,-1.3337,0.7551,2.7635,0.5904,0.1128,-0.396,-1.4455,0.9272,0.7964,-0.5732,0.0621,1.2934,0.0127,0.3521,-0.2744,-0.247,0.1135,-0.6345,0.893,0.7324,1.1415,-0.1212,0.0401,0.4591,-2.5401,0.6219,1.6443,2.1258,0.2698,1.6099,0.4823,-0.5887,-0.3477,-0.1,0.8562,-0.6799,0,0.4559,0.4923,-1.6236,-0.219,-0.6236,1.2248,0.145,0.289,-0.4606,0.5093
101,Viper,0.4947,1.1499,0.3875,2.9359,-1.4483,-2.7747,-0.9714,-3.137,0.108,0.1058,0.1786,1.4791,-0.5822,0.5378,-0.2911,-0.0069,-3.2283,1.0287,0.9219,0.2567,1.033,-0.9697,-0.2867,0.3287,0.5891,-0.4103,1.1946,-1.9953,-0.5512,-0.5299,0.0952,0.6642,1.1973,0.1184,-0.0681,4.0138,0.9786,-1.79,-0.2646,1.2664,-1.8073,-0.3282,1.6484,-0.3391,-0.6505,0.6388,0.6494,-0.3521,0.0425,-0.5039,1.0215,-0.4661,0.3359,-1.7145,-1.0613,0.5478,0.992,2.7145,-0.1456,-1.0397,-1.2802,-0.1069,-0.5705,-0.4975,0.5123,1.3973,0.3518,-1.6815,1.5236,0.3034,0.0564,-0.6013,-0.7349,1.8954,-0.9649,-0.9174,0.3495,0.0972,0.3887,-0.7665,-1.9156,2.1857,3.067,0.2309,-0.5198,0.4406,-1.003,-1.0649,-4.0448,1.4027,-1.8121,0.6794,1.2926,-0.521,0.1451,0.8347,0.1458,-0.9677,-1.3885,-0.437,0,2.0639,-3.7053,0.6946,0.0328,1.4634,-0.8233,1.0688,0.5758,1.0202
102,Visage,0.1898,-2.9133,0.314,0.3223,-0.0555,-0.4941,-0.2659,-1.8895,-1.3456,-0.5792,-0.434,1.4336,0.2406,-0.1235,-1.1503,3.4611,1.0058,-0.8105,-1.4847,0.6227,0.0078,0.8443,-0.9787,-0.9712,-1.4106,-1.0901,0.0122,-1.3816,-0.9658,0.2233,-0.5942,0.9241,0.3353,-0.9547,0.2837,0.5865,0.9188,-1.0784,-0.3759,0.3552,0.5112,0.7167,0.7112,-0.8885,0.5159,0.9037,-0.2764,-0.5891,-1.6475,-1.6186,0.3748,-0.7464,0.0773,1.7468,-0.0442,0.0626,1.5018,2.0673,-0.4491,-1.1415,-1.7308,-0.0223,0.3759,-1.0295,-0.9042,2.8251,0.2698,-0.7658,-0.077,-1.5144,-0.7135,-2.0026,-0.5846,-0.753,-0.3181,0.5766,0.2958,0.7992,-2.7705,-1.5444,0.1203,0.6173,-0.6241,-1.3314,-1.1424,-1.3806,-1.398,-0.8027,-1.841,1.7494,-0.0182,0.6037,-0.9132,-2.0205,0.1647,-1.1306,-0.5625,0.2635,-1.1785,-0.4891,-2.0232,0,-1.7014,0.6156,0.6672,1.7682,0.6352,1.6556,-0.2939,-2.0616
103,Warlock,-1.3688,-0.8333,-2.4345,-0.009,0.0624,0.9934,3.5193,-1.5289,9.8421,-1.0799,-1.1841,4.8684,1.8673,8.7149,-0.1425,3.9029,6.1953,1.6591,-0.286,-1.6906,-3.6312,-1.4885,1.8201,-3.7869,0.1391,-0.1481,1.8492,-1.13,-2.8019,-3.3631,-0.066,5.5014,1.651,-1.7657,3.0697,2.8186,-2.7267,-5.0844,2.2704,-2.999,-0.8632,-3.0394,-2.0292,8.1783,-2.0318,-0.8853,-0.4256,-2.67,12.2209,3.0159,9.1173,-3.3957,0.9115,-0.7542,-2.7567,-3.2901,4.4028,7.4155,-3.2248,0.2847,-1.7188,-0.6809,-3.3292,-1.5951,-1.0611,4.5161,-2.6779,-1.0077,-4.9388,4.4919,-0.7126,1.0617,-3.2774,-2.32,-1.578,0.5636,-1.3033,-0.8094,-1.8796,-0.4209,-3.2963,-1.4875,0.8006,-3.1167,-2.2646,-3.3202,-2.6214,-5.2893,1.7191,2.4266,-5.1494,-1.7281,-2.2984,-0.0823,-1.8633,0.5636,-1.2239,-0.8236,0.004,0.7742,2.9542,1.1396,0,-0.2148,-0.0876,1.1749,-2.7131,-2.1014,-1.9313,-3.2522
104,Weaver,0.1041,1.1345,0.8354,0.7908,1.2515,-0.7972,-0.9388,-0.4408,-0.8226,0.1052,1.2665,0.1062,1.817,1.5874,-1.2614,-1.9514,-0.0206,1.5007,-1.7548,-0.1878,-0.6923,-1.239,0.63,-0.5056,-0.4562,-1.2204,1.8038,-1.0238,0.4228,0.5759,2.9145,0.6706,-2.4813,1.0474,0.3485,1.7035,2.1816,1.8259,0.0839,2.2653,1.139,0.9046,2.4996,0.2317,2.4314,0.9874,1.2352,0.3169,-0.0605,-0.9348,0.7193,0.9687,1.4714,-2.8536,0.493,0.0115,-2.1706,2.5974,-1.6479,0.0163,0.5178,-2.5154,-0.4497,-1.2018,-1.2575,1.0929,1.3491,-0.9083,0.3111,-0.3012,0.4168,-0.698,1.182,1.3536,0.084,0.2821,1.3228,-0.0878,0.1828,-0.8135,-1.1332,2.4241,2.0465,-1.3571,-0.0018,0.8371,1.6645,0.2379,-1.344,-1.5496,0.4951,1.6681,0.9497,0.2701,-0.6771,0.8631,1.0486,1.07,0.6591,0.3487,-0.6268,-0.291,-0.1763,0,2.0264,1.8708,-0.6302,-0.5818,-0.7433,0.0199
105,Windranger,-0.181,1.4311,-1.2118,0.3305,-0.49,1.4303,-0.2623,-3.0694,-0.0385,1.859,1.5355,-2.995,1.5469,1.7505,0.2988,-0.5161,-0.9016,0.8789,-0.0218,-0.1676,-0.6062,0.038,-2.0281,0.9767,-0.9083,1.0335,1.274,-0.3258,0.7843,-0.3716,0.1253,-0.4909,-0.7717,4.1171,0.3701,-0.8787,-0.2073,1.563,-0.6744,-1.628,-0.4365,-1.2226,1.0579,-0.7918,-1.5366,-2.587,-0.4665,0.3061,0.5807,1.2081,-0.9819,0.3911,-0.8046,-0.3402,1.2858,-0.1163,0.5268,1.4476,-0.1296,0.7013,1.3165,-0.5324,-3.2747,-2.436,0.0858,0.698,-1.3318,0.423,-3.0099,-2.009,0.0228,-1.1086,0.6281,-0.1156,-0.0722,-2.4791,1.0773,-0.1345,0.5472,0.1957,1.3572,1.0476,-0.3749,0.5578,-0.8599,-0.0467,-1.6681,3.2405,-0.7106,-1.1322,1.4789,-0.9684,-0.4635,0.1377,0.1674,0.3843,-0.5989,-1.5412,-1.9745,0.6868,0.1084,-0.6949,-0.5515,-1.7721,0,0.149,-0.5491,-1.2565,-0.5544,1.2142
106,Winter Wyvern,-0.7476,0.7991,-0.1397,-0.6418,0.4733,0.7877,0.1566,-0.4102,0.124,-0.076,0.356,-0.5908,0.4538,-1.4002,2.4733,0.5038,-3.5962,0.0571,1.8019,-0.6722,0.1072,-0.0538,-0.1495,0.6995,0.6901,0.1238,-1.3422,0.3642,-0.1804,0.6091,0.5688,-2.2476,-0.0067,0.2531,-0.6824,-3.3365,-0.6215,-4.2166,-0.9254,-1.1813,1.1364,0.4581,-1.0147,-1.0283,0.2539,-2.3041,-0.0086,0.4357,-0.779,0.34,-1.4461,0.2042,0.9237,-2.6816,0.4113,2.0914,0.9512,-0.2829,-0.7991,0.4112,1.4132,0.6973,-1.454,-0.8278,-1.4431,0.3714,0.1906,0.6689,-1.6556,0.4773,0.9054,-0.0193,-1.5056,0.4035,0.7222,0.7062,-0.3127,-0.7126,0.5622,-0.2744,-0.5364,-1.0001,-1.0747,2.609,-0.718,0.6328,-2.5128,-1.243,-1.042,0.6375,-1.7599,-0.1822,1.5513,-0.1739,-0.4121,-2.1753,0.6611,-0.1604,-2.6056,-0.1856,-0.218,-1.3991,-2.1128,0.0028,0.5289,0,0.3892,-0.7522,-0.5957,0.9544
107,Witch Doctor,-0.7374,0.488,1.584,1.873,-0.0684,-0.2346,0.6079,1.6515,-0.4953,-1.9354,0.4695,-0.6968,-0.2898,0.7774,-0.2969,-2.1948,0.3714,0.1761,1.4031,-0.9535,1.9842,0.2507,1.0692,-1.4183,-0.048,-0.4294,-1.9739,0.1647,-0.7423,-0.547,1.3492,1.1629,-0.2482,-1.3346,1.1694,0.4588,-1.7357,-2.186,0.5052,-1.6921,0.1255,-1.1719,-3.9648,3.0228,0.2353,-2.3136,-0.5384,-1.0683,2.8842,1.1713,1.0152,-1.3393,-0.1465,-5.9336,-1.9864,0.3029,0.136,1.6623,-0.4193,-1.4412,0.0003,-0.5565,-1.6325,-1.6486,2.031,1.1178,0.7561,-0.3402,-1.3753,2.5765,0.9534,0.2661,-2.9202,0.1441,1.6559,0.845,-0.5174,-0.9463,-0.8582,0.1191,-1.0294,-1.2804,0.4347,0.2195,-0.9686,-0.8985,-2.6895,-0.7209,-0.7903,-0.6453,-0.0572,3.3601,0.9029,0.2588,-0.4019,-2.0289,-0.4994,1.2875,-1.5981,-0.4915,0.6387,-0.7753,2.7237,0.5777,0.2379,-0.3344,0,-1.7047,-2.5137,0.0669
108,Wraith King,0.1255,0.0016,0.9284,-0.5775,0.9883,-1.9429,-0.7665,-0.5699,-0.8714,-0.1454,0.3884,0.6642,-0.4206,1.7932,-1.9318,-0.9288,-0.1713,0.9461,-0.3828,-1.7105,-1.2673,-0.8999,-0.2157,0.5423,-1.0765,-1.0398,0.8898,0.6728,0.0663,0.5476,1.0311,-0.8079,-1.1984,1.6117,-0.5778,-1.2247,0.8766,0.0765,-0.2343,0.1244,0.7182,0.2255,-0.3723,-0.4134,0.0981,-0.367,-0.3253,0.2338,-0.7322,0.1866,-0.0397,-0.1073,0.463,0.0814,0.4988,0.747,0.323,2.1345,-1.6173,-1.2458,-0.0698,-1.3312,-0.214,0.9022,-0.3212,1.3378,0.7777,1.1142,-0.5668,-0.923,-0.3331,-1.2157,1.0978,0.1202,-0.8365,0.2311,-0.0496,-0.5377,0.5823,-0.2203,-0.8712,0.9639,0.9878,-1.2178,-0.8742,-0.1501,-0.7835,0.8018,-0.413,0.564,0.4594,0.0349,0.4436,-0.4606,-1.517,-1.3119,-0.3823,-0.2837,-0.6627,-0.2704,-1.0251,-1.6815,1.6582,0.9354,1.2504,1.4085,1.4966,0,-1.2524,-0.9315
109,Zeus,0.5812,1.2865,-0.002,5.9059,0.5977,-0.8295,-0.3135,-0.096,3.4682,-2.3722,0.771,1.3168,0.4018,2.2518,-2.0686,1.7659,-0.2286,-1.362,-0.9084,0.5143,2.5128,1.8684,0.4209,-0.926,-0.5617,-0.1816,-0.7256,-0.8407,-0.2508,-0.5446,-0.304,-0.3468,-0.4534,0.0782,-1.0961,-1.7011,5.5245,1.6676,0.7133,0.9112,4.5632,-0.7835,-0.5196,-1.2441,0.377,0.8695,0.1796,2.5118,-0.0203,-2.0129,0.5486,-0.6248,1.7058,2.1445,0.5244,0.9013,2.2515,0.6644,-0.6577,-0.6695,2.0658,0.3114,1.962,0.4727,2.3594,7.5701,1.0996,-1.8788,-0.2664,-0.0626,-0.8879,0.0981,1.3643,2.6311,-0.0752,1.1142,-0.4018,-0.285,-1.727,-2.3195,0.9592,2.6258,0.4982,-1.4051,-1.0914,-0.2587,-0.4382,-2.1833,0.6084,2.4578,3.2231,0.8587,-0.2989,-1.1115,1.4498,-0.5531,-0.8425,2.6103,-1.1036,0.2126,-0.9979,-0.2186,0.3534,0.7142,0.2453,1.5918,1.5219,0.95,0,-2.4513
